,ativo,taxa
0,PFE,0.010928918727118209
1,PFE,-0.008783760900011761
2,PFE,0.00340831436120248
3,PFE,0.009284463607876381
4,PFE,-0.01727625041045866
5,PFE,-0.015753397621550147
6,PFE,-0.016469536854840428
7,PFE,-0.010141529271721073
8,PFE,-0.0004765050624112588
9,PFE,-0.000476732227731147
10,PFE,-0.032912034993147654
11,PFE,0.0404438882571132
12,PFE,0.015643528331291234
13,PFE,0.0025671431944009893
14,PFE,0.01606142447573089
15,PFE,-0.009163767209639517
16,PFE,-0.027976942709478925
17,PFE,0.022835402050934928
18,PFE,0.005348828141545914
19,PFE,0.004626445432860393
20,PFE,-0.0020722805992356985
21,PFE,-0.023765585743413142
22,PFE,0.013472022937799366
23,PFE,-0.011893668480915887
24,PFE,0.008496591854803448
25,PFE,-0.014509772593379489
26,PFE,0.008549052812650393
27,PFE,0.0014127801170535914
28,PFE,-0.006113378756836041
29,PFE,-0.0026022727034928916
30,PFE,-0.028700160980224654
31,PFE,-0.007570190019123513
32,PFE,-0.027312995339402124
33,PFE,0.031368507647347776
34,PFE,0.01986755881234492
35,PFE,0.02092354827236953
36,PFE,0.010129583694161504
37,PFE,-0.010261200502511336
38,PFE,-0.007775735642419956
39,PFE,0.005224415858804621
40,PFE,-0.014883015748133999
41,PFE,0.012709818353479951
42,PFE,-0.013023877553157814
43,PFE,0.004558487062694461
44,PFE,-0.0040601584480651765
45,PFE,0.006474758546426651
46,PFE,0.01024543363685071
47,PFE,0.004717010206580996
48,PFE,-0.009389634583378048
49,PFE,-0.0014218191453287954
50,PFE,0.019458941342758163
51,PFE,0.0027932383136271
52,PFE,-0.0013926822675951467
53,PFE,-0.0020921237266177117
54,PFE,0.009783400605529291
55,PFE,0.00023066801252369373
56,PFE,-0.006688200607257833
57,PFE,-0.004179203514832586
58,PFE,-0.024014933083948642
59,PFE,-0.011227870591767664
60,PFE,-0.012080237794862447
61,PFE,0.014918051259924736
62,PFE,0.005542159173051342
63,PFE,0.00670982317534774
64,PFE,-0.019519157525042186
65,PFE,0.014323869921327503
66,PFE,0.0007180080084694396
67,PFE,0.011719722927170828
68,PFE,-0.003073309646426381
69,PFE,0.004268492151262349
70,PFE,-0.011806399990278216
71,PFE,0.0009557427138309205
72,PFE,0.01265217125475604
73,PFE,-0.00942947795941873
74,PFE,0.00642554641017945
